CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
01001,L'Abergement-Clémenciat,240100644,CC Chalaronne Centre,CC
01002,L'Abergement-de-Varey,240100883,CC de la Plaine de l'Ain,CC
01004,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,CC
01005,Ambérieux-en-Dombes,240100735,CC Porte Ouest de la Dombes,CC
01006,Ambléon,240100354,CC de Belley-Bas Bugey,CC
01007,Ambronay,240100883,CC de la Plaine de l'Ain,CC
01008,Ambutrix,240100883,CC de la Plaine de l'Ain,CC
01009,Andert-et-Condon,240100354,CC de Belley-Bas Bugey,CC
01010,Anglefort,247400823,CC du Pays de Seyssel,CC
01011,Apremont,240100909,CC Lac de Nantua,CC
01012,Aranc,240100578,CC du Plateau d'Hauteville,CC
01013,Arandas,240100396,CC de la Vallée de l'Albarine,CC
01014,Arbent,240100172,CC d'Oyonnax,CC
01015,Arbignieu,240100354,CC de Belley-Bas Bugey,CC
01016,Arbigny,240100685,CC du Canton de Pont de Vaux,CC
01017,Argis,240100396,CC de la Vallée de l'Albarine,CC
01019,Armix,240100743,CC Bugey-Arène-Furans,CC
01021,Ars-sur-Formans,240100735,CC Porte Ouest de la Dombes,CC
01022,Artemare,240100370,CC du Valromey,CC
01023,Asnières-sur-Saône,240100818,CC du Pays de Bâgé,CC
01024,Attignat,240100156,CC de Montrevel en Bresse,CC
01025,Bâgé-la-Ville,240100818,CC du Pays de Bâgé,CC
01026,Bâgé-le-Châtel,240100818,CC du Pays de Bâgé,CC
01027,Balan,240100610,CC du Canton de Montluel,CC
01028,Baneins,240100644,CC Chalaronne Centre,CC
01029,Beaupont,240100651,CC du Canton de Coligny,CC
01030,Beauregard,240100735,CC Porte Ouest de la Dombes,CC
01031,Bellignat,240100172,CC d'Oyonnax,CC
01032,Béligneux,240100610,CC du Canton de Montluel,CC
01033,Bellegarde-sur-Valserine,240100891,CC du Pays Bellegardien,CC
01034,Belley,240100354,CC de Belley-Bas Bugey,CC
01035,Belleydoux,240100172,CC d'Oyonnax,CC
