Département,EPCI_Siren,Commune,Nom unique,EPCI_nom (==> données : tC.ha-1),nature,nb_com,poptot,cultures,prairies,forêts,zones humides,vergers,vignes,sols artificialisés,sols artificiels imperméabilisés,sols artificiels enherbés,sols artificiels arborés et buissonants,f_cult_for_%zpc,f_for_cult_%zpc,f_cult_prai_%zpc,f_prai_cult_%zpc,f_prai_for_%zpc,f_for_prai_%zpc,f_cult_zh_%zpc,f_zh_cult_%zpc,f_prai_zh_%zpc,f_zh_prai_%zpc,f_for_zh_%zpc,f_zh_for_%zpc,f_prai_verg_%zpc,f_verg_prai_%zpc,f_for_verg_%zpc,f_verg_for_%zpc,f_prairies_vign_%zpc,f_vign_prai_%zpc,f_for_vign_%zpc,f_vign_for_%zpc,f_for_art_ imp_%zpc,f_prai_art_imp_%zpc,f_cult_art_imp_%zpc,f_for_art_enh_%zpc,f_prai_art_enh_%zpc,f_cult_art_enh_%zpc,f_for_art_arb_%zpc,f_ prai_art_arb_%zpc,f_cult_art_arb_%zpc
,1,,,Île-de-Bréhat,Comm,1,361,50.2099757030412,70.6464015341466,61.6968207492639,125,46,39,35.3232007670733,30,70.6464015341466,61.6968207492639,0.1684737273446,-0.287171126155568,0.400553946289666,-0.776584181582006,-0.180602540238933,0.180602540238933,74.7900242969588,-74.7900242969588,54.3535984658534,-54.3535984658534,63.3031792507361,-63.3031792507361,-0.936563258297571,0.483069470069274,-0.392420518731598,0.230220037655871,-1.20256325829757,0.620269470069274,-0.567420518731598,0.332886704322538,-31.6968207492639,-40.6464015341466,-20.2099757030412,8.94958078488268,0,20.4364258311054,0,-8.94958078488268,11.4868450462227
,2,,,Île-de-Sein & Ouessant,Comm,2,684,49.9429733685612,70.3080848779683,61.5233341823076,125,46,39,35.1540424389841,30,70.3080848779683,61.5233341823076,0.169845291934947,-0.289509020343659,0.399156185584379,-0.773874237357469,-0.177276269038433,0.177276269038433,75.0570266314388,-75.0570266314388,54.6919151220317,-54.6919151220317,63.4766658176925,-63.4766658176925,-0.923707225362794,0.476438463608178,-0.388083354557689,0.227675568007177,-1.18970722536279,0.613638463608178,-0.563083354557689,0.330342234673844,-31.5233341823075,-40.3080848779683,-19.9429733685612,8.78475069566071,0,20.3651115094071,0,-8.78475069566071,11.5803608137464
,3,,,Loire-Authion,Comm,1,15702,42.5054154062344,54.5760703482009,80.4564220892056,125,46,39,27.2880351741005,30,54.5760703482009,80.4564220892056,0.556614764683578,-0.94877516707428,0.236584836862544,-0.458684887794727,0.522265498133475,-0.522265498133475,82.4945845937656,-82.4945845937656,70.4239296517991,-70.4239296517991,44.5435779107944,-44.5435779107944,-0.325890673231636,0.168090978824738,-0.861410552230141,0.505360857308349,-0.591890673231636,0.305290978824738,-1.03641055223014,0.608027523975016,-50.4564220892056,-24.5760703482009,-12.5054154062344,-25.8803517410047,0,12.0706549419665,0,25.8803517410047,37.9510066829712
,4,,,L'Île-d'Yeu,Comm,1,4809,49.4390460035589,73.0360025422867,65.0014451319736,125,46,39,36.5180012711433,30,73.0360025422867,65.0014451319736,0.228248520550082,-0.389059978210367,0.462500348159064,-0.896684348471654,-0.162137368540118,0.162137368540118,75.5609539964411,-75.5609539964411,51.9639974577134,-51.9639974577134,59.9985548680264,-59.9985548680264,-1.02736809660689,0.529905649828819,-0.47503612829934,0.278687861935613,-1.29336809660689,0.667105649828818,-0.65003612829934,0.381354528602279,-35.0014451319736,-43.0360025422867,-19.4390460035589,8.03455741031307,0,23.5969565387277,0,-8.03455741031307,15.5623991284147
,200000172,,,CC Faucigny-Glières,CC,7,27164,54.6307673412141,93.3076734121407,88.5692080945689,125,46,39,46.6538367060704,30,93.3076734121407,88.5692080945689,0.49776379771587,-0.84846101883387,0.758067358990162,-1.46972243069521,-0.0956222301086001,0.0956222301086001,70.3692326587859,-70.3692326587859,31.6923265878593,-31.6923265878593,36.4307919054311,-36.4307919054311,-1.79769158966135,0.927230398877958,-1.06423020236422,0.62434838538701,-2.06369158966135,1.06443039887796,-1.23923020236422,0.727015052053677,-58.5692080945689,-63.3076734121407,-24.6307673412141,4.73846531757186,0,38.6769060709267,0,-4.73846531757186,33.9384407533548
,200000438,,,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,CC,9,35548,50.5889374604832,72.7005447521731,63.7500025267729,125,46,39,36.3502723760866,30,72.7005447521731,63.7500025267729,0.193028954305582,-0.329026626657242,0.433387502917123,-0.840241077084218,-0.180621942108577,0.180621942108577,74.4110625395168,-74.4110625395168,52.2994552478269,-52.2994552478269,61.2499974732272,-61.2499974732272,-1.01462070058258,0.523330677142593,-0.443750063169322,0.260333370392669,-1.28062070058258,0.660530677142593,-0.618750063169322,0.363000037059335,-33.7500025267729,-42.7005447521731,-20.5889374604832,8.95054222540026,0,22.11160729169,0,-8.95054222540026,13.1610650662897
,200000545,,,CC des Portes de Romilly-sur-Seine,CC,6,19108,43,55,83,125,46,39,27.5,30,55,83,0.586666666666667,-1,0.2352,-0.456,0.56504,-0.56504,82,-82,70,-70,42,-42,-0.342,0.1764,-0.925,0.542666666666667,-0.608,0.3136,-1.1,0.645333333333333,-53,-25,-13,-28,0,12,0,28,40
,200000628,,,CC Rhône Lez Provence,CC,5,24502,41.7019794542119,57.5960410915762,77.4458073989826,125,46,39,28.7980205457881,30,57.5960410915762,77.4458073989826,0.524242809856637,-0.893595698619268,0.311523608092341,-0.603974342219844,0.400568284083461,-0.400568284083461,83.2980205457881,-83.2980205457881,67.4039589084238,-67.4039589084238,47.5541926010174,-47.5541926010174,-0.440649561479896,0.227282405394894,-0.786145184974565,0.461205175185078,-0.706649561479896,0.364482405394894,-0.961145184974565,0.563871841851745,-47.4458073989826,-27.5960410915762,-11.7019794542119,-19.8497663074064,0,15.8940616373643,0,19.8497663074064,35.7438279447707
,200000800,,,CC Coeur de Sologne,CC,6,10861,43,55,83,125,46,39,27.5,30,55,83,0.586666666666667,-1,0.2352,-0.456,0.56504,-0.56504,82,-82,70,-70,42,-42,-0.342,0.1764,-0.925,0.542666666666667,-0.608,0.3136,-1.1,0.645333333333333,-53,-25,-13,-28,0,12,0,28,40
,200000925,,,CC de la Plaine Dijonnaise,CC,25,22507,49.2214910147803,74.8388173891481,68.9528533300271,125,46,39,37.419408694574,30,74.8388173891481,68.9528533300271,0.289393313956953,-0.49328405788117,0.502099596937609,-0.973458402225977,-0.118778754713062,0.118778754713062,75.7785089852198,-75.7785089852198,50.1611826108519,-50.1611826108519,56.047146669973,-56.047146669973,-1.09587506078763,0.565240820827302,-0.573821333250676,0.336641848840397,-1.36187506078763,0.702440820827302,-0.748821333250676,0.439308515507063,-38.9528533300271,-44.8388173891481,-19.2214910147803,5.88596405912103,0,25.6173263743678,0,-5.88596405912103,19.7313623152468
