aldo_soil_category_enh,aldo_soil_category_short_enh,aldo_biomass_category_arb,aldo_flows_categories_enh,clc_category
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,111
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,112
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,121
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,122
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,123
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,124
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,131
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,132
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,133
sols artificiels enherbés,art_enh,sols artificiels arbustifs,sols artificiels enherbés,142
