EPCI_Siren,aldo_biomass_category,biomass_carbon_content
1,prairies zones arborées,48
2,prairies zones arborées,48
3,prairies zones arborées,48
4,prairies zones arborées,48
200000172,prairies zones arborées,57
200000438,prairies zones arborées,48
200000545,prairies zones arborées,48
200000628,prairies zones arborées,44
200000800,prairies zones arborées,48
200000925,prairies zones arborées,48
200000933,prairies zones arborées,48
200004802,prairies zones arborées,44
200005932,prairies zones arborées,48
200005957,prairies zones arborées,48
200006682,prairies zones arborées,48
200006716,prairies zones arborées,48
200006930,prairies zones arborées,44
200006971,prairies zones arborées,48
200007052,prairies zones arborées,48
200007177,prairies zones arborées,48
200010650,prairies zones arborées,48
200010700,prairies zones arborées,48
200011773,prairies zones arborées,57
200011781,prairies zones arborées,48
200012060,prairies zones arborées,48
200013050,prairies zones arborées,48
200015162,prairies zones arborées,44
200016905,prairies zones arborées,57
200017341,prairies zones arborées,44
200017846,prairies zones arborées,48
200018083,prairies zones arborées,48
200018166,prairies zones arborées,57
200018406,prairies zones arborées,48
200018521,prairies zones arborées,48
200022986,prairies zones arborées,44
200023075,prairies zones arborées,48
200023125,prairies zones arborées,48
200023240,prairies zones arborées,48
200023299,prairies zones arborées,57
200023307,prairies zones arborées,31
200023372,prairies zones arborées,57
200023414,prairies zones arborées,48
200023620,prairies zones arborées,44
200023737,prairies zones arborées,44
200023778,prairies zones arborées,48
200023794,prairies zones arborées,31
200023919,prairies zones arborées,48
200026573,prairies zones arborées,48
200027027,prairies zones arborées,48
200027076,prairies zones arborées,48
200027100,prairies zones arborées,44
200027183,prairies zones arborées,44
200027217,prairies zones arborées,31
200027308,prairies zones arborées,48
200029734,prairies zones arborées,31
200029999,prairies zones arborées,57
200030195,prairies zones arborées,44
200030385,prairies zones arborées,48
200030435,prairies zones arborées,31
200030526,prairies zones arborées,48
200030633,prairies zones arborées,48
200030658,prairies zones arborées,57
200030674,prairies zones arborées,31
200032514,prairies zones arborées,48
200033025,prairies zones arborées,48
200033090,prairies zones arborées,48
200033116,prairies zones arborées,57
200033173,prairies zones arborées,48
200033181,prairies zones arborées,48
200033207,prairies zones arborées,48
200033298,prairies zones arborées,48
200033579,prairies zones arborées,48
200033827,prairies zones arborées,44
200033868,prairies zones arborées,48
200034023,prairies zones arborées,44
200034031,prairies zones arborées,44
200034049,prairies zones arborées,44
200034056,prairies zones arborées,44
200034064,prairies zones arborées,44
200034098,prairies zones arborées,57
200034130,prairies zones arborées,48
200034197,prairies zones arborées,31
200034205,prairies zones arborées,44
200034270,prairies zones arborées,48
200034379,prairies zones arborées,44
200034411,prairies zones arborées,44
200034601,prairies zones arborées,44
200034635,prairies zones arborées,48
200034692,prairies zones arborées,44
200034700,prairies zones arborées,44
200034718,prairies zones arborées,48
200034726,prairies zones arborées,44
200034825,prairies zones arborées,31
200034833,prairies zones arborées,31
200034874,prairies zones arborées,48
200034882,prairies zones arborées,57
200034957,prairies zones arborées,44
200035087,prairies zones arborées,44
