EPCI_Siren,from_clc,from_id,to_clc,to_id,flow,unit
1,222,vergers,211,cultures,-16,tC/ha
1,222,vergers,212,cultures,-16,tC/ha
1,222,vergers,213,cultures,-16,tC/ha
1,222,vergers,241,cultures,-16,tC/ha
1,222,vergers,242,cultures,-16,tC/ha
1,222,vergers,243,cultures,-16,tC/ha
1,222,vergers,244,cultures,-16,tC/ha
1,223,vergers,211,cultures,-16,tC/ha
1,223,vergers,212,cultures,-16,tC/ha
1,223,vergers,213,cultures,-16,tC/ha
1,223,vergers,241,cultures,-16,tC/ha
1,223,vergers,242,cultures,-16,tC/ha
1,223,vergers,243,cultures,-16,tC/ha
1,223,vergers,244,cultures,-16,tC/ha
2,222,vergers,211,cultures,-16,tC/ha
2,222,vergers,212,cultures,-16,tC/ha
2,222,vergers,213,cultures,-16,tC/ha
2,222,vergers,241,cultures,-16,tC/ha
2,222,vergers,242,cultures,-16,tC/ha
2,222,vergers,243,cultures,-16,tC/ha
2,222,vergers,244,cultures,-16,tC/ha
2,223,vergers,211,cultures,-16,tC/ha
2,223,vergers,212,cultures,-16,tC/ha
2,223,vergers,213,cultures,-16,tC/ha
2,223,vergers,241,cultures,-16,tC/ha
2,223,vergers,242,cultures,-16,tC/ha
2,223,vergers,243,cultures,-16,tC/ha
2,223,vergers,244,cultures,-16,tC/ha
3,222,vergers,211,cultures,-16,tC/ha
3,222,vergers,212,cultures,-16,tC/ha
3,222,vergers,213,cultures,-16,tC/ha
3,222,vergers,241,cultures,-16,tC/ha
3,222,vergers,242,cultures,-16,tC/ha
3,222,vergers,243,cultures,-16,tC/ha
3,222,vergers,244,cultures,-16,tC/ha
3,223,vergers,211,cultures,-16,tC/ha
3,223,vergers,212,cultures,-16,tC/ha
3,223,vergers,213,cultures,-16,tC/ha
3,223,vergers,241,cultures,-16,tC/ha
3,223,vergers,242,cultures,-16,tC/ha
3,223,vergers,243,cultures,-16,tC/ha
3,223,vergers,244,cultures,-16,tC/ha
4,222,vergers,211,cultures,-16,tC/ha
4,222,vergers,212,cultures,-16,tC/ha
4,222,vergers,213,cultures,-16,tC/ha
4,222,vergers,241,cultures,-16,tC/ha
4,222,vergers,242,cultures,-16,tC/ha
4,222,vergers,243,cultures,-16,tC/ha
4,222,vergers,244,cultures,-16,tC/ha
